date,traffic_volume,is_holiday,temp_c,rain_1h,snow_1h,clouds_all
2015/6/24,5097,0,17.075,0,0,0
2015/6/26,5031,0,18.62,0,0,1
2015/6/29,5334,0,19.78,0.3,0,1
2015/6/30,5354,0,17.38,0,0,1
2015/7/2,4987,0,16.06,0,0,1
2015/7/3,2523,1,15.4,0,0,1
2015/7/6,4911,0,20.85,0.66,0,90
2015/7/7,5340,0,12.69,0,0,1
2015/7/8,5431,0,15.66,0,0,1
2015/7/9,5450,0,18,0,0,1
2015/7/10,5146,0,20.57,0,0,1
2015/7/13,5369,0,20.02,0,0,40
2015/7/14,5324,0,22.18,0,0,1
2015/7/15,5467,0,17.99,0,0,1
2015/7/16,5417,0,20.56,0,0,90
2015/7/17,5245,0,20.1,0,0,90
2015/7/20,5149,0,21.44,0,0,40
2015/7/21,4986,0,18.28,0,0,1
2015/7/22,5318,0,20.17,0,0,1
2015/7/23,4841,0,19.36,0,0,1
2015/7/24,5063,0,20.1,0.25,0,75
2015/7/27,5347,0,23.27,0,0,40
2015/7/28,5045,0,21.43,13.32,0,90
2015/7/29,5299,0,20.25,0,0,1
2015/7/30,5337,0,18.84,0,0,1
2015/7/31,5192,0,19.76,0,0,1
2015/8/3,5317,0,17.18,0,0,1
2015/8/4,5243,0,15.04,0,0,1
2015/8/5,5417,0,17.12,0,0,1
2015/8/6,5316,0,18.82,0,0,90
2015/8/7,5124,0,20.64,0,0,90
2015/8/10,5342,0,19.86,0,0,1
2015/8/11,5350,0,18.04,0,0,1
2015/8/12,5318,0,18.79,0,0,1
2015/8/13,5414,0,22.46,0,0,1
2015/8/14,5126,0,22.35,0,0,1
2015/8/17,5646,0,17.22,0,0,1
2015/8/18,5576,0,16.45,0,0,75
2015/8/19,5884,0,13.99,0,0,90
2015/8/20,5820,0,11.99,0,0,1
2015/8/21,5289,0,16.51,0,0,75
2015/8/24,5595,0,12.14,0,0,90
2015/8/25,5092,0,11.75,0,0,1
2015/8/26,5479,0,10.14,0,0,5
2015/8/27,6138,1,16.27,0,0,1
2015/8/28,5878,0,17.64,0,0,90
2015/8/31,5987,0,19.88,0,0,40
2015/9/2,5821,0,20.66,0,0,1
2015/9/3,5905,0,20.39,0,0,90
2015/9/4,5720,0,22,0,0,1
2015/9/7,2204,1,19.31,0,0,1
2015/9/8,6018,0,18.07,0,0,1
2015/9/9,6118,0,13.89,0,0,40
2015/9/10,6222,0,14.81,0,0,90
2015/9/11,5343,0,9.65,0,0,1
2015/9/14,5961,0,15.01,0,0,1
2015/9/15,5947,0,19.97,0,0,1
2015/9/17,5515,0,22.18,2.03,0,90
2015/9/18,6069,0,11.85,0,0,5
2015/9/21,5917,0,14.78,0,0,1
2015/9/23,6080,0,16.72,0,0,40
2015/9/24,5940,0,17.6,0.51,0,90
2015/9/25,5805,0,16.32,0,0,90
2015/9/28,5821,0,18.3,0,0,40
2015/9/29,5844,0,8.05,0,0,1
2015/9/30,5782,0,5.17,0,0,1
2015/10/12,5368,1,14.18,0,0,90
2015/10/13,5772,0,6.58,0,0,75
2015/10/15,5290,0,7.57,0,0,1
2015/10/16,5024,0,0.83,0,0,1
2015/10/22,5808,0,1.93,0,0,1
2015/10/27,5957,0,8.6,0,0,1
2015/10/28,5329,0,7.78,0,0,90
2015/10/29,5760,0,5.78,0,0,90
2015/10/30,5405,0,4.74,0,0,90
2015/11/3,5719,0,7.28,0,0,1
2015/11/4,6098,0,13.08,0,0,75
2015/11/11,5409,1,3.47,0,0,1
2015/11/12,5789,0,5.07,0,0,90
2015/11/13,5600,0,0.13,0,0,1
